"title","image","link","specialPrice","realPrice","price","specialDiscount","discount","storeName"
"iPhone 13 128GB Azul Medianoche","/medias/194252707166-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzNjY4fGltYWdlL3dlYnB8YURJeEwyZ3dZUzh4TkRNeE5qTTJOVEV4T1RVeE9DOHhPVFF5TlRJM01EY3hOalpmTURBeFh6TXhNRmQ0TXpFd1NBfGQyNTM0OWE4MGE1NDY3MTcwMmRhMTU5ZGE1ZjRiMjZhMTYxZjI3YTQyN2Y4MDQ4M2Y2NGZkMTg5NGI5YjE0MmE","https://www.alkosto.com/iphone13-128gb-azul-medianoche/p/194252707166?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzE2NiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,4096737.704918033,2499010,,"39%","alkosto"
"iPhone 13 128GB Blanco Estrella","/medias/194252707432-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0MTQ2fGltYWdlL3dlYnB8YUdRMEwyZzBZUzh4TkRNeE5qTTJPVGd6T0RFeE1DOHhPVFF5TlRJM01EYzBNekpmTURBeFh6TXhNRmQ0TXpFd1NBfDlkZTVjZTU3NWZlZDBhYThhMzVkZTNjMmZmM2U5MzhmYTFjYTBlYWIwMzhiNDhjN2Y4MGEzZGZjMjFhMmMzMDE","https://www.alkosto.com/iphone13-128gb-blanco-estrella/p/194252707432?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjcwNzQzMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,4096737.704918033,2499010,,"39%","alkosto"
"iPhone 12 128 GB Negro","/medias/194252031162-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzMDg2fGltYWdlL3dlYnB8YURabUwyaG1ZaTh4TkRJNU5URTJOVEUwTVRBeU1pOHhPVFF5TlRJd016RXhOakpmTURBeFh6TXhNRmQ0TXpFd1NBfGI4N2I3M2MyNTQzYWI1NzI5MTU1ZDU1ZjcxNDVkYWVkZDRkMzNhYjRhZjFhNDE3MzJmNzU0ZTZjYzdkNDY3OGU","https://www.alkosto.com/iphone12-128gb-negro/p/194252031162?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjAzMTE2MiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,3875530.612244898,1899010,,"51%","alkosto"
"iPhone 16 Pro Max 256 GB Titanio Del Desierto","/medias/195949806032-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w1NDE2fGltYWdlL3dlYnB8YURSbEwyZ3dNQzh4TkRjMk5Ea3hOemN4T1RBM01DOHhPVFU1TkRrNE1EWXdNekpmTURBeFh6TXhNRmQ0TXpFd1NBfDdlZDM3MzkzOTIxZTNjYThjMWMxODBmYzc2NGI2MzQ5ZjQ1MWYzMTAyZGZkZDkzNjkzNDM1NDkxNzk1ZDFhNjY","https://www.alkosto.com/iphone-16-pro-max-256gb-titanio-del-desierto/p/195949806032?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTgwNjAzMiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,6969010,6969010,,"0.00%","alkosto"
"iPhone 12 64 GB Blanco","/medias/194252029800-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzNTk0fGltYWdlL3dlYnB8YURFd0wyaG1ZeTh4TkRJNU5URTFNalUxT0RFeE1DOHhPVFF5TlRJd01qazRNREJmTURBeFh6TXhNRmQ0TXpFd1NBfDI0NzM4NDRkYTk4MDZhZTI3ZDk2YWMzMGM4NWMzMDE0Y2IwMjY4ZGFkMmIyZTk5NDIyMzY0NmFlYTEyM2EzNzU","https://www.alkosto.com/iphone12-64gb-blanco/p/194252029800?algEvent=eyJvYmplY3RJZCI6IjE5NDI1MjAyOTgwMCIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",1549010,3539604.166666667,1699010,"56.24%","52.00%","alkosto"
"iPhone 15 128 GB 5G Negro","/medias/195949035913-001-310Wx310H?context=bWFzdGVyfGltYWdlc3wzNTUwfGltYWdlL3dlYnB8YURSakwyZzBaUzh4TkRNMU5qSTRPREEwTlRBNE5pOHhPVFU1TkRrd016VTVNVE5mTURBeFh6TXhNRmQ0TXpFd1NBfDM2Mzk4YmE2YzMxNTQwYTJlZWEwODVkMjFmM2Q0Mjk3MTFjMzg1NGU2ZDg2NGExMzZlMTk4YzMyZWVkYWEyNTU","https://www.alkosto.com/iphone-15-128gb-5g-negro/p/195949035913?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTAzNTkxMyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,4560685.393258427,4059010,,"11%","alkosto"
"iPhone 16 Pro Max 256 GB Titanio Negro","/medias/195949805653-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0NzYwfGltYWdlL3dlYnB8YUdJMUwyZzNNQzh4TkRjMk5Ea3hOalV6T1RReU1pOHhPVFU1TkRrNE1EVTJOVE5mTURBeFh6TXhNRmQ0TXpFd1NBfDA4ZDg1MTZiMmY2ZTI2MWJmMGM1MmYxNzAxYjdiZDNlNjBiZDdmNTcyZGJmNjQxZjMyYmIwYzFiYWMyYzU2MmY","https://www.alkosto.com/iphone-16-pro-max-256gb-titanio-negro/p/195949805653?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTgwNTY1MyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,6969010,6969010,,"0.00%","alkosto"
"iPhone 16 Pro Max 256 GB Titanio Natural","/medias/195949806223-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0OTg2fGltYWdlL3dlYnB8YUdKaEwyZzFZaTh4TkRjMk5Ea3hPRE13T0RnNU5DOHhPVFU1TkRrNE1EWXlNak5mTURBeFh6TXhNRmQ0TXpFd1NBfDA0OTExZTYyNGI3MDFiNWQxZTQ3ZTJjN2U3ODE0ZDJmMTg0MmEzOGNlMzE1OGU2ODM1NmExMDQ3ZjM5NzAxZmE","https://www.alkosto.com/iphone-16-pro-max-256gb-titanio-natural/p/195949806223?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTgwNjIyMyIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,6969010,6969010,,"0.00%","alkosto"
"iPhone 15 128 GB 5G Rosa","/medias/195949036095-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0Mjk0fGltYWdlL3dlYnB8YUdNeEwyaGxPUzh4TkRNMU5qQTFNakV4TlRRNE5pOHhPVFU1TkRrd016WXdPVFZmTURBeFh6TXhNRmQ0TXpFd1NBfDI3YTlmMDM2MDE4MzUxMmQxMGU2ODRhMGQ4MzI0MjcyYzExYTJkOWZkZmE2ZDNlN2M5ZDk2NzNlZThlM2RlNWI","https://www.alkosto.com/iphone-15-128gb-5g-rosa/p/195949036095?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTAzNjA5NSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,4560685.393258427,4059010,,"11%","alkosto"
"iPhone 16 Pro 128 GB Titanio Negro","/medias/195949771040-001-310Wx310H?context=bWFzdGVyfGltYWdlc3w0NzYwfGltYWdlL3dlYnB8YUdGa0wyaGxOQzh4TkRjMk5Ea3dOekV3TWpJek9DOHhPVFU1TkRrM056RXdOREJmTURBeFh6TXhNRmQ0TXpFd1NBfGYxOTllMGMwMTEzMDVkNzk2MDJhYTI0MmFiYmMxNDZjMGYxMzNkODhkMGE0ZGUyNmRkNDIxY2IzMzRkNTFhYjA","https://www.alkosto.com/iphone-16-pro-128gb-titanio-negro/p/195949771040?algEvent=eyJvYmplY3RJZCI6IjE5NTk0OTc3MTA0MCIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiNzdmNjkxYmNiMDI5ZTg3YjhiZWVhZjBiOTgxNWVjMzIifQ==",0,5799010,5799010,,"0.00%","alkosto"
